"","PC1_diff","PC2_diff","PC3_diff","PC4_diff","total_diff","xGplus_per__minus_90_Team.Success..xG","Comp_from_to","On_minus_Off_Team.Success","PPM_Team.Success","plus_per__minus_90_Team.Success","xGplus_per__minus__Team.Success..xG","Nation","On_minus_Off_Team.Success..xG","Won_percent_Aerial","Dead_Pass","Ast_Per","Succ_percent_Take","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","PPA","Cmp_percent_Medium","plus_per__minus__Team.Success","Cmp_percent_Short","np.G_minus_xG_Expected","A_minus_xAG_Expected","Cmp_percent_Long","Def.Pen_Touches","unSub_Subs","Dist_Standard","Mn_per_MP_Playing.Time","Tkld_percent_Take","Subs_Subs","Cmp_percent_Total","SCA90_SCA","GCA90_GCA","Clr","Tkl_percent_Challenges","onxGA_Team.Success..xG","Fls","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Err","SCA_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Cmp_Total","Att_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_Medium","Att_Medium","Cmp_Long","Att_Long","Ast","xAG","xA_Expected","KP","Final_Third","CrsPA","PrgP","Att","Live_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Tkld_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","onG_Team.Success","onGA_Team.Success","onxG_Team.Success..xG.","player_position","Comp_going"
"xGplus_per__minus__Team.Success..xG",0,0,0,0,0,0,0.00682442353561914,0.00403720918419365,0.00752008590658964,0,0.0167141300052911,0.00625470188943806,0.0043260474798618,0.00375680055777399,0,0,0,0,0,0,0,0,0,0.00705772967516368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nation",0,0,0,0,0,0,0.00524432700198724,0,0.00435445449188099,0.00612875559018353,0.00625470188943806,0.00957180206386929,0.00154347374193388,0,0.00513460411027813,0.00702924255618717,0.00190486123538543,0.00283513867627433,0.00191659890407739,0.00195969753314392,0.00428123225522296,0.00374315813664572,0.0050491317380112,0.00328730034810366,0.00266615168436428,0.00568334659429537,0.00174289489835773,0.00117366181600847,0.00183294662077387,0.00197241859435005,0.00237359309228854,0.0013188426148035,0.00146783464496725,0.00165133132686136,0.00309755282458613,0.00392090850400002,0.00166830401370621,0.0020579539151648,0.00100572410072785,0.00125185134088541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On_minus_Off_Team.Success..xG",0,0,0,0,0,0.00374282268320789,0,0.00282723688347236,0.00284044289845475,0.00340724689711589,0.0043260474798618,0.00154347374193388,0.00723689107250633,0.00171832810015083,0,0,0,0,0,0,0,0.00284828846431016,0,0.00467809880217321,0,0.000906941875432739,0.00150486247599213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Won_percent_Aerial",0,0,0,0,0,0,0.00681489575386391,0,0.00512081203522872,0.00418576452461674,0.00375680055777399,0,0.00171832810015083,0.0195505309498653,0.010887217307665,0.00569890357275574,0.00438701247000114,0.00251789650595893,0.00278660528651717,0.0039833149847291,0.0070093796440983,0.00545360133798124,0.00313068662828831,0.0042257558114313,0.00195064895792311,0.00446700009288468,0.00467412774234789,0.00457249550160078,0.0024971691444372,0.00362878725909246,0.00317927667529331,0.00368502244329696,0.00125698491338248,0.00205353856116003,0,0,0,0,0.00151935536814147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dead_Pass",0,0,0,0,0,0,0,0,0,0,0,0.00513460411027813,0,0.010887217307665,0.0159199442135843,0.0101361872348333,0.0063617174083399,0.0087065721134121,0.00476575963062043,0.00345738513588589,0,0.00532362914214538,0,0.00694527625436075,0.00543584448862018,0.00416244607130667,0.00490969930842668,0.0048228923190071,0.00803947227249679,0,0.00514753540566504,0,0.00318906958690453,0.00190684379167897,0.00558223158781271,0,0,0,0.00103759892783029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ast_Per",0,0,0,0,0,0,0,0,0,0,0,0.00702924255618717,0,0.00569890357275574,0.0101361872348333,0.0147580572594526,0.00497848967243271,0.00338036928723004,0.00342049409319139,0.0035302326609782,0.00629908507454203,0.00340223582550252,0,0.00313569098465238,0,0.00551184572714928,0.00348500638585958,0,0,0.00368127943333518,0,0.00366551542584113,0,0.00245545529847078,0.00381440058189371,0,0,0.00187863951023245,0.00144433366487249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_percent_Take",0,0,0,0,0,0,0,0,0,0,0,0.00190486123538543,0,0.00438701247000114,0.0063617174083399,0.00497848967243271,0.00797212323789565,0.00364129877095136,0.00269162854835899,0.00254351078059534,0,0.00346227718431,0,0.00321215787476398,0.00286273448891133,0.00195074557962345,0.00350928130524508,0,0.00260499270578131,0,0.00213347040557362,0,0.00143014698689958,0.00133639419255917,0.00281560233599415,0,0,0,0.00132041493190055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SoT_percent_Standard",0,0,0,0,0,0,0,0,0,0,0,0.00283513867627433,0,0.00251789650595893,0.0087065721134121,0.00338036928723004,0.00364129877095136,0.00736280303080902,0.00444069866201025,0.0021455183924602,0,0.00337967709934941,0,0.00333586227689309,0.00134017008351373,0.00189966491373356,0.00267117642710977,0,0,0,0,0.00340223358569342,0.00238755898602833,0.000723488895515665,0.00181005422564958,0,0,0.00139332948872679,0.00125218670972552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sh_per_90_Standard",0,0,0,0,0,0,0,0,0,0,0,0.00191659890407739,0,0.00278660528651717,0.00476575963062043,0.00342049409319139,0.00269162854835899,0.00444069866201025,0.00662369019110523,0.00110578775188471,0,0.00273460590150157,0,0.00351776714469977,0.00124169340324851,0.0011363607976311,0.00119771898376107,0,0,0,0,0.00266128891483937,0.00155506545537038,0.00186649626319355,0.00181528591603694,0,0,0.0013443330305655,0.000947389579381433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SoT_per_90_Standard",0,0,0,0,0,0,0,0,0,0,0,0.00195969753314392,0,0.0039833149847291,0.00345738513588589,0.0035302326609782,0.00254351078059534,0.0021455183924602,0.00110578775188471,0.00788067443999502,0,0.00236705953527443,0,0.0027098827539874,0.000696467087736927,0.00238096648988047,0.00173364852827145,0,0,0,0,0.00225398845994486,0,0.00140853593753913,0.00183191287410449,0,0,0.00185174370235665,0.00104952052004155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPA",0,0,0,0,0,0,0,0,0,0,0,0.00428123225522296,0,0.0070093796440983,0,0.00629908507454203,0,0,0,0,0.0181658816078219,0.00692188133791173,0,0.00560953328351055,0.00233404396645982,0.00519163399299314,0.00512288654557101,0.00427766603557336,0,0,0,0,0,0.00368692420118912,0.00475765180082594,0,0,0.00222883634587436,0.0027219726175332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cmp_percent_Medium",0,0,0,0,0,0,0.00477760509815759,0,0,0,0,0.00374315813664572,0.00284828846431016,0.00545360133798124,0.00532362914214538,0.00340223582550252,0.00346227718431,0.00337967709934941,0.00273460590150157,0.00236705953527443,0.00692188133791173,0.0132373658246706,0.00486142132196865,0.0039976408593976,0.00362677717377605,0.00360983337953119,0,0.00334471306513816,0.00199531182968337,0.00389640616957431,0.00405507306384401,0.00282541790145271,0.00216660044086823,0,0,0,0,0,0.00145475691311445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plus_per__minus__Team.Success",0,0,0,0,0,0,0,0,0.00814233758598862,0,0,0.0050491317380112,0,0.00313068662828831,0,0,0,0,0,0,0,0.00486142132196865,0.0111237859065335,0.00720354187871284,0,0.00288530560439546,0.00305882810781532,0,0,0.00270720673171307,0,0,0,0.00281157545252811,0.00270669640402676,0,0,0,0.00230673445920333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
