"","PC1_diff","total_diff","PC2_diff","PC3_diff","SCA90_SCA","plus_per__minus__Team.Success","onxG_Team.Success..xG.","xGplus_per__minus__Team.Success..xG","Comp_from_to","TB_Pass","onG_Team.Success","CPA_Carries","Att.3rd_Touches","Att.Pen_Touches","unSub_Subs","PPM_Team.Success","G.A","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success..xG","PC4_diff","Subs_Subs","Att_Short","Succ_Take","Sw_Pass","Cmp_percent_Long","Nation","Cmp_percent_Total","xGplus_per__minus_90_Team.Success..xG","Tkl_percent_Challenges","G_minus_xG_Expected","Cmp_percent_Short","SoT_per_90_Standard","Cmp_percent_Medium","SoT_Standard","A_minus_xAG_Expected","GCA90_GCA","FK_Standard","npxG_Expected","Def.3rd_Touches","TO_GCA","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","PassLive_GCA","PassDead_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Cmp_Medium","Att_Medium","Cmp_Long","Att_Long","Ast","xAG","xA_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Mid.3rd_Touches","Live_Touches","Att_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_percent_Standard","Sh_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_per_Sh_Expected","np.G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","onGA_Team.Success","On_minus_Off_Team.Success","onxGA_Team.Success..xG","player_position","Comp_going"
"onG_Team.Success",0,2024.28423508341,0,1972.44099498705,0,0,4207.15805631359,0,26132.9311693716,0,127880.485376965,7834.17922605157,8487.81207521199,7635.08657968918,0,8872.96486365404,7038.18672667993,0,0,0,2550.61007663209,0,0,0,0,5197.27841877064,0,2597.04173960344,0,0,1239.64977214393,0,5020.1286035954,0,2297.78786036093,0,0,0,1107.41810052959,2042.3445707723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPA_Carries",0,6803.78406576944,0,1667.12687770817,0,0,10090.0636484601,0,16339.0249242858,0,7834.17922605157,298977.35616671,80663.0540453317,63843.3878171283,56713.5591776608,0,0,0,2299.88776890347,16807.0673706704,2588.90362623248,0,0,0,0,0,0,2146.91768999295,0,4534.30051800311,0,38163.7974980203,0,8369.17016789392,0,0,2751.85205344219,13899.2512936049,0,135.033000882703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.3rd_Touches",0,3670.77386757388,2573.02034497131,4150.3100603155,0,0,4047.92455321354,0,8242.15344670615,0,8487.81207521199,80663.0540453317,185211.993170527,11582.7459088758,7773.64631087084,15201.6027864311,7032.30406523915,9584.44167811413,1913.17235686946,4629.9977521964,4166.70115718286,0,17338.77419347,0,0,0,0,5913.32707922366,0,6585.5748883223,0,1767.62083708633,0,5317.68600036931,0,0,1969.32069476463,2106.48873061583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.Pen_Touches",0,1224.56379624738,3082.1706054564,1013.47335595956,0,0,2817.3250773528,0,8729.94361541931,0,7635.08657968918,63843.3878171283,11582.7459088758,284804.93418839,32176.9510338708,13884.0289940938,0,2275.16465817019,35638.7925990312,2986.45273761666,1926.41935810447,0,41253.5637483361,0,0,0,0,3978.01795006598,0,6567.63345782277,0,3489.81350434698,0,7027.7219928199,0,0,2882.14726401172,1560.73087543597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unSub_Subs",0,11829.0571014406,0,20112.7302026524,5893.49736339356,0,0,0,15611.7185540365,0,0,56713.5591776608,7773.64631087084,32176.9510338708,237279.793727386,0,10565.021832633,0,0,0,12172.9453309115,0,0,0,0,11505.313917614,0,4101.54364951378,0,0,6173.33078281448,3835.80127360176,5013.38596867383,0,2900.98191427306,0,0,0,2557.14632444825,1088.95801180982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPM_Team.Success",0,6629.35231215062,4350.65694543102,2850.3403864617,0,0,5290.62741919645,0,21409.4804916245,0,8872.96486365404,0,15201.6027864311,13884.0289940938,0,292576.793309156,42815.7684095042,0,10317.0205751071,5383.89437059714,0,0,0,0,0,0,0,4737.14335332787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G.A",0,3628.80680194578,1310.2163214323,1056.64388558358,0,0,10859.8150485686,0,12788.9874979893,0,7038.18672667993,0,7032.30406523915,0,10565.021832633,42815.7684095042,275476.906058901,34788.6745866524,4069.59110276998,9422.7113423989,3108.21279724369,0,0,0,0,0,0,10611.4673731093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plus_per__minus_90_Team.Success",0,4544.11035409972,3181.7687399444,4638.30465323181,0,10146.5072155144,3909.79589510874,0,4192.15371650143,0,0,0,9584.44167811413,2275.16465817019,0,0,34788.6745866524,164240.509838628,18190.238438515,2377.32438972077,0,0,0,0,0,0,0,2598.67545384002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On_minus_Off_Team.Success..xG",0,4790.90023497739,0,2026.73304693996,0,10106.2573210558,0,17945.7962973354,20056.0242187107,0,0,2299.88776890347,1913.17235686946,35638.7925990312,0,10317.0205751071,4069.59110276998,18190.238438515,196643.555869696,19057.5567692962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383.62243473006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC4_diff",17617.2398312758,11231.7765665227,2653.10859376505,0,0,8022.53859433349,0,9468.54941491589,0,0,0,16807.0673706704,4629.9977521964,2986.45273761666,0,5383.89437059714,9422.7113423989,2377.32438972077,19057.5567692962,129672.586200846,7032.86698315152,0,0,0,0,8135.35536916794,0,0,0,0,37806.5197692458,0,0,0,0,0,0,0,1937.77450885281,336.958497407616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subs_Subs",0,3303.67967254801,0,4856.0773625463,0,0,2730.27813241355,0,6623.03387678696,0,2550.61007663209,2588.90362623248,4166.70115718286,1926.41935810447,12172.9453309115,0,3108.21279724369,0,0,7032.86698315152,145080.430302873,0,0,0,0,7628.20057473387,0,2813.71960926664,0,0,0,0,0,0,0,0,0,0,0,353.229075844848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att_Short",0,0,0,0,8561.37951246626,0,0,0,13047.4712090599,25890.8324469512,0,0,0,0,0,0,0,0,0,0,0,536904.051581388,80224.6710644193,59335.951287388,34871.8697948796,11321.1088251932,15488.6187610923,10841.4006033719,5607.38072668735,6113.91539780681,0,0,0,0,0,5246.83624088167,3837.76417018892,0,0,6123.85877740948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_Take",0,0,0,0,3599.45416055187,0,0,0,0,6802.40125704562,0,0,17338.77419347,41253.5637483361,0,0,0,0,0,0,0,80224.6710644193,144188.19970473,3657.95468099359,5521.20172692035,3523.50858765398,13408.7745936371,0,7268.18030323582,0,5296.70456400639,0,4865.39859725474,0,5850.03868453224,1842.37655127281,4308.62179560716,0,1347.99456448314,716.187963923799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
